tr_order_id,date_purchase,date_shipping,quantity_item,total,user_id,product_id,shipping_status_id,payment_method_id
tr_order_id_081,24/03/2024 09:00:00,26/03/2024 10:17:11,7,881500,6,34,2,7
tr_order_id_082,24/03/2024 09:00:00,26/03/2024 15:32:22,1,132500,3,76,2,5
tr_order_id_083,24/03/2024 09:00:00,27/03/2024 02:35:17,2,366500,9,45,2,6
tr_order_id_084,24/03/2024 09:00:00,26/03/2024 09:49:47,4,626500,7,83,2,6
tr_order_id_085,25/03/2024 09:00:00,27/03/2024 14:23:16,1,80500,54,13,2,5
tr_order_id_086,25/03/2024 09:00:00,27/03/2024 23:53:30,2,256500,57,34,2,6
tr_order_id_087,25/03/2024 09:00:00,27/03/2024 18:39:23,3,600500,87,99,2,6
tr_order_id_088,25/03/2024 09:00:00,28/03/2024 01:06:11,1,198500,43,100,2,6
tr_order_id_089,25/03/2024 09:00:00,27/03/2024 14:50:31,2,206500,44,18,2,6
tr_order_id_090,26/03/2024 09:00:00,29/03/2024 08:10:56,1,107200,7,2,2,7
tr_order_id_091,26/03/2024 09:00:00,28/03/2024 09:35:52,1,106500,10,92,2,7
tr_order_id_092,26/03/2024 09:00:00,28/03/2024 18:44:04,3,381500,14,27,2,6
tr_order_id_093,26/03/2024 09:00:00,28/03/2024 16:26:30,7,881500,19,34,2,7
tr_order_id_094,27/03/2024 09:00:00,29/03/2024 23:38:37,1,132500,23,76,2,4
tr_order_id_095,27/03/2024 08:03:00,30/03/2024 06:43:29,2,360000,50,45,1,1
tr_order_id_096,27/03/2024 20:09:00,30/03/2024 13:50:19,4,620000,1,83,1,3
tr_order_id_097,27/03/2024 20:13:00,29/03/2024 21:32:44,1,84500,5,13,1,7
tr_order_id_098,27/03/2024 21:10:00,30/03/2024 15:36:02,2,252500,3,34,2,5
tr_order_id_099,27/03/2024 22:00:00,30/03/2024 02:18:22,3,600500,13,99,2,7
tr_order_id_100,27/03/2024 21:00:00,30/03/2024 06:13:28,1,192000,19,100,2,1
